Name,Type,km/s,MB,Diam kpc,SGX,SGY,SGZ,Log Lum
0000-80,10,1757,-13.29,13.7,-18.4,-13.4,-5.4,0
N 7814,2,1250,16.39,22.5,9.2,-11.3,4.3,10.18
U   17,9,1081,16.1,10.2,7.7,-9.8,3.6,8.4
N 7817,4,2532,17.13,27.6,20.9,-21.7,9.3,10.51
0003-41,7,1502,-1.55,16,-5.2,-17.5,-0.5,0
0005-34,10,198,0.43,1.5,-0.4,-2.3,0,0
N   14,10,1059,15.02,10.5,7.8,-9.6,3.3,9.57
N   24,5,595,3.23,9.5,-0.1,-6.8,0.4,9.3
0007-18,10,1611,5.32,11.8,1.9,-19.1,1.8,0
U   99,9,1935,14.11,20.8,13.8,-18.3,5.8,0
U  122,10,1048,14.23,6.7,8,-9.3,3.1,8.76
N   45,8,511,2.94,13.4,0.1,-5.9,0.3,9.32
N   48,5,2036,18.4,13.9,23.9,-7.4,8.3,9.44
N   55,9,106,-2.35,9.2,-0.3,-1.3,-0.1,9.44
U  156,10,1318,12.35,13,9.1,-12.5,3.4,9.11
0016-19,9,2116,3.15,11.2,2.6,-25.4,1.4,0
U  191,9,1320,11.19,11.6,8.9,-12.8,3.1,9.18
U  192,10,-83,17.83,3.1,0.7,-0.1,0.2,8.7
0017-77,9,1622,-13.34,10.6,-16.1,-13.3,-4.9,0
0018-64,10,1622,-10.36,9.1,-12.3,-16.2,-3.7,0
0020-53,5,1329,-7.86,14.9,-7.5,-14.6,-2.3,0
N  100,5,1035,11.58,13.9,8,-9.3,2.5,9.27
U  260,5,2305,9.72,19,16.4,-22.6,4.8,10.02
U  300,10,1488,6.94,7.8,8.4,-15.6,2.2,0
N  134,4,1572,-3.55,30,-2.3,-18.8,-1.2,10.63
N  147,-5,89,15.26,3.7,0.6,-0.2,0.2,7.99
U  328,9,2107,4.9,12.7,10.3,-23.2,2.2,0
0031-31,9,1579,-3.62,10.5,-1.5,-18.9,-1.2,9.29
N  150,4,1601,-2.82,18.5,-0.5,-19.2,-0.9,10.24
N  148,-2,1534,-3.93,9.7,-1.8,-18.3,-1.3,9.51
N  157,4,1751,2.56,17.1,6.1,-20,0.9,10.53
0033-25,8,1574,-2.49,18.7,0.3,-18.8,-0.8,9.74
N  185,-5,39,14.28,3.9,0.6,-0.2,0.2,8.14
N  178,9,1544,-0.09,9.7,3.8,-18,0,9.62
N  205,-5,-1,13.05,3.6,0.6,-0.3,0.2,8.43
N  210,3,1700,-0.36,26.7,4.3,-19.9,-0.1,10.22
0038-63,7,1575,-12.42,11.2,-11.6,-15.8,-4.3,0
N  216,13,1597,-2.53,8.9,1.8,-19,-0.8,9.26
N  221,-5,35,12.46,2.5,0.6,-0.3,0.2,8.33
N  224,3,-59,12.53,31.8,0.6,-0.3,0.2,10.46
